super_opeid,name,type,tier,tier_name,iclevel,region,state,czname,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,,
30955,ASA Institute Of Business & Computer Technology,3,11,Two-year for-profit,2,1,NY,New York,0.443575115,0.326790166,0.143710764,0.059706764,0.02621719,0.013222894,0.006964943,0.000415863,0.000103003,0.179153205,0.339576954,0.243778467,0.19232666,0.045164714,0.165521076,0.27243545,0.269479311,0.207874309,0.084689854,0.191352112,0.224084499,0.275450667,0.239075117,0.070037606,0.128933954,0.293591219,0.1760198,0.285810949,0.115644078,0.096270705,0.298532039,0.203693505,0.204270918,0.197232834,,
3537,Abilene Christian University,2,6,Selective private,1,3,TX,Abilene,0.052441352,0.101031977,0.163935739,0.258240046,0.424350886,0.235864907,0.126604725,0.0230491,0.000841904,0.094144827,0.108627178,0.255998166,0.267327011,0.273902819,0.186187623,0.129639054,0.203431209,0.23309061,0.247651504,0.143650521,0.158835985,0.208374547,0.287477197,0.20166175,0.138002099,0.139815036,0.174220124,0.23329166,0.31467108,0.134629595,0.122560388,0.141743014,0.2391946,0.361872404,,
1541,Abraham Baldwin Agricultural College,1,7,Nonselective four-year public,1,3,GA,Valdosta,0.154555182,0.187158613,0.225497056,0.236762581,0.196026568,0.072930537,0.03304462,0.002520282,0.000608527,0.176490734,0.239796031,0.301015292,0.186568282,0.096129661,0.114014611,0.228966502,0.286066844,0.228475947,0.142476096,0.119984916,0.134516864,0.272312019,0.311546099,0.161640103,0.092711515,0.166804541,0.233597754,0.305651807,0.201234383,0.124098177,0.149397704,0.196671093,0.30476101,0.225072016,,
7531,Academy Of Art University,3,10,Four-year for-profit,1,4,CA,San Francisco,0.093524223,0.122917146,0.175349499,0.211525122,0.396684011,0.244049585,0.147395509,0.035681199,0.003368348,0.267030112,0.185425786,0.206293741,0.166350345,0.174900016,0.209054799,0.191571108,0.218931933,0.136387221,0.244054939,0.199759412,0.220832973,0.181343628,0.146925774,0.251138212,0.1993628,0.192634007,0.167183798,0.188904895,0.251914499,0.196625288,0.185091929,0.170165247,0.151512572,0.296604964,,
1345,Adams State University,1,5,Selective public,1,4,CO,Alamosa,0.129224392,0.185503884,0.24842875,0.260876334,0.175966639,0.064278462,0.024887405,0.003146715,0,0.169992999,0.201669608,0.218812449,0.263695825,0.14582912,0.128884526,0.183627879,0.235872225,0.289182793,0.162432578,0.105586373,0.147340742,0.264117229,0.280907041,0.202048616,0.117543997,0.159308249,0.227716318,0.291997758,0.203433678,0.105001251,0.118148038,0.266020101,0.219266919,0.291563692,,
2666,Adelphi University,2,6,Selective private,1,1,NY,New York,0.087048019,0.12853861,0.156433861,0.229864533,0.398114977,0.205369803,0.103923967,0.023863256,0.00193671,0.098475188,0.125163606,0.193849549,0.208177236,0.374334421,0.128190303,0.113945962,0.151231798,0.193888463,0.412743474,0.090565274,0.106612946,0.171123408,0.196650435,0.435047937,0.08777559,0.131607619,0.162515832,0.190016221,0.428084738,0.103291674,0.101819971,0.118571601,0.190071059,0.486245694,,
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,Two-year (public and private not-for-profit),2,1,NY,Albany,0.114288185,0.177607137,0.255218849,0.294449224,0.158436605,0.045389867,0.015902615,0.001922987,9.23385E-05,0.140552717,0.254615088,0.274081233,0.243769699,0.086981264,0.130016514,0.211524878,0.257210317,0.249162607,0.152085685,0.137429357,0.208591936,0.268995427,0.223906758,0.161076523,0.1044997,0.174225189,0.242078392,0.286170084,0.193026636,0.100394914,0.186269925,0.216217236,0.280798579,0.216319346,,
2234,Adrian College,2,6,Selective private,1,2,MI,Jackson,0.060760294,0.115355947,0.200813262,0.281326941,0.341743556,0.149725906,0.072932913,0.011504383,0.001322675,0.150875579,0.164390579,0.212694692,0.314623361,0.157415789,0.083161868,0.147655779,0.20696786,0.33797786,0.224236633,0.073973458,0.115333705,0.249827504,0.344749901,0.216115431,0.090414379,0.138706265,0.230765411,0.265043372,0.275070572,0.078247952,0.113764009,0.17150237,0.29779081,0.338694861,,
11484,Advanced Institute Of Hair Design,3,11,Two-year for-profit,2,2,WI,Milwaukee,0.025902086,0.111165487,0.254502753,0.408000119,0.200429554,0.094894953,0.015591938,0.001437937,0.00083525,0.082549151,0,0.019943437,0.118694457,0.778812955,0.072769671,0.403407214,0.40976109,0.076348212,0.037713813,0.174678859,0.220398776,0.371414373,0.193754862,0.039753129,0.029537601,0.325535889,0.424687245,0.180730626,0.03950864,0.279267791,0.227840967,0.157835062,0.247978961,0.087077219,,
31275,Advanced Technology Institute,3,11,Two-year for-profit,2,3,VA,Virginia Beach,0.159531326,0.218920736,0.262733589,0.223529194,0.135285154,0.027271068,0.010344932,0.002457908,5.79737E-06,0.115101233,0.21521592,0.180524203,0.292089748,0.197068896,0.150490143,0.205352312,0.181067067,0.326453078,0.136637399,0.112305303,0.093760981,0.306359597,0.375255036,0.112319084,0.132046181,0.097415308,0.222765077,0.278863824,0.26890961,0.100153497,0.196730346,0.229574231,0.225365393,0.248176534,,
